Zeros,Poles,k
(-0.8242423111956693+0.40784672406934624j),0.0,0.0
(-0.8432388249862708+0.3658001593810086j),0.0,0.0
(-0.8139406721704188-0.42850677843994345j),0.0,0.0
(-0.8600465682792061-0.3228815446042637j),0.0,0.0
(-0.851919684443828+0.34444241973246287j),0.0,0.0
(-0.8676128842329506-0.3011330062975374j),0.0,0.0
(-0.851919684443583-0.34444241973226625j),0.0,0.0
(-0.8600465682792544+0.3228815446039074j),0.0,0.0
(-0.8676128842326146+0.3011330062976661j),0.0,0.0
(-0.8746121628073358+0.27921287878524353j),0.0,0.0
(-0.8746121628070898-0.27921287878502554j),0.0,0.0
(-0.886884223243714-0.23492618872491303j),0.0,0.0
(-0.8921445665823377-0.21259661621806844j),0.0,0.0
(-0.8968131291249644-0.19017027945723045j),0.0,0.0
(-0.8968131291249931+0.19017027945750445j),0.0,0.0
(-0.8810380350474967+0.2571379969503912j),0.0,0.0
(-0.8921445665822509+0.21259661621800147j),0.0,0.0
(-0.9008844908260837+0.16767075782922183j),0.0,0.0
(-0.8810380350474695-0.257137996950597j),0.0,0.0
(-0.9072214617100255-0.1225661386158047j),0.0,0.0
(-0.9008844908258846-0.16767075782960947j),0.0,0.0
(-0.9043544340444387-0.1451252767866576j),0.0,0.0
(-0.8868842232436737+0.23492618872492002j),0.0,0.0
(-0.9094899858898532-0.10003227415240565j),0.0,0.0
(-0.9072214617100164+0.12256613861635553j),0.0,0.0
(-0.9094899858906449+0.10003227415259927j),0.0,0.0
(-0.9043544340439548+0.1451252767867427j),0.0,0.0
(-0.9111765210662734+0.07756968601735094j),0.0,0.0
(-0.9111765210659523-0.07756968601833733j),0.0,0.0
(-0.9132878946381808-0.010992990072124188j),0.0,0.0
